id,Primary_Vocation,Acres,Percentage_Field_Crops,Percentage_Vegetable_Crops,Percentage_Tree_and_Vine_Crops,Percentage_Other,County,Alfalfa_Rank,Rice_Rank,Wheat_Rank,Triticale_Rank,Barley_Rank,Oats_Rank,Cotton_Rank,Corn_Rank,Corn_Silage_Rank,Small_Grain_Silage_Rank,Small_Grain_Hay_Rank,Grass_and_Grass_Mixtures_Hay_Rank,Sorghum_Sudangrass_Sudan_Rank,Dry_Beans_Rank,Mixed_Hay_Rank,Sunflower_Rank,Oilseeds_Rank,Sugar_Beets_Rank,Hemp_Rank,Other_Rank,Grass_and_Grass_Mixtures_Pasture_Rank,Wild_Rice_Rank,Concern_Commondity_Price_of_Crops,Concern_Market_Access,Concern_Consumer_Demand,Concern_Input_Costs,Concern_Water_Costs,Concern_Land_Tenure,Concern_Water_Quality_and_Availability,Concern_Labor_Quality_and_Availability,Concern_Water_Regulations_Quantity,Concern_Water_Regulations_Quality,Concern_Labor_Regulations,Concern_Chemical_Regulations,Concern_Air_Quality,Concern_Changing_Weather_and_Climate,Concern_Soil_Degradation,Concern_Other,Alfalfa_Concerns,Cotton_Concerns,Rice_Concerns,Wild_Rice_Concerns,Wheat_Concerns,Triticale_Concerns,Barley_Concerns,Oats_Concerns,Corn_Concerns,Sorghum_Concerns,Corn_Silage_Concerns,Small_Grain_Silage_Concerns,Small_Grain_Hay_Concerns,Grass_and_Grass_Mixtures_Hay_Concerns,Grass_and_Grass_Mixtures_Pasture_Concerns,Sorghum_Sudangrass_Sudan_Concerns,Mixed_Hay_Concerns,Dry_Beans_Concerns,Sunflower_Concerns,Oilseeds_Concerns,Sugar_Beets_Concerns,Hemp_Concerns,Other_Concerns,Alfalfa_Reasons,Cotton_Reasons,Rice_Reasons,Wild_Rice_Reasons,Wheat_Reasons,Triticale_Reasons,Barley_Reasons,Oats_Reasons,Corn_Reasons,Sorghum_Reasons,Corn_Silage_Reasons,Small_Grain_Silage_Reasons,Small_Grain_Hay_Reasons,Grass_and_Grass_Mixtures_Hay_Reasons,Grass_and_Grass_Mixtures_Pasture_Reasons,Sorghum_Sudangrass_Sudan_Reasons,Mixed_Hay_Reasons,Dry_Beans_Reasons,Sunflower_Reasons,Oilseeds_Reasons,Sugar_Beets_Reasons,Hemp_Reasons,Other_Reasons,Affected_Crop_Production_Profitability,Affected_Crop_Production_Crop_Yield,Affected_Crop_Production_Crop_Quality,Affected_Crop_Production_Input_Costs,Affected_Crop_Production_Soil_Fertility,Affected_Crop_Production_Land_Stewardship,Affected_Crop_Production_Natural_Resource_Conservation,Affected_Crop_Production_Meeting_Government_Regulations,Affected_Crop_Production_Labor_Required,Affected_Crop_Production_Ease_of_Implementation,Affected_Crop_Production_Certainty_in_Management_Practice,Affected_Crop_Production_Availability_of_Outreach_Information,Affected_Crop_Production_Water_Availability,Affected_Crop_Production_Other,Information_Sources,UCCE_Engagement_Attend_Field_Day,UCCE_Engagement_Read_Blog,UCCE_Engagement_Call_Advisor,UCCE_Engagement_Read_Newsletter,UCCE_Engagement_Interact_with_Social_Media,Amount_Valued_Continuing_Education_Credits,Amount_Valued_On_Farm_Consultations,Amount_Valued_Crop_Injury_Diagnosis,Amount_Valued_On_Farm_Trials,Priority_Irrigation_Management,Priority_Water_Conservation_and_Storage,Priority_Nutrient_Management,Priority_Salinity_Management,Priority_Soil_Health_Management,Priority_Cover_Crops,Priority_Weed_Control,Priority_Insect_Pest_Control,Priority_Disease_Control,Priority_Manure_Management,Priority_Compost_Management,Priority_Crop_Establishment,Priority_Variety_Testing,Priority_Harvest_and_Postharvest,Priority_Emerging_Crops,Priority_Testing_New_Products,Priority_Niche_Marketing_Field_Crops,Priority_Greenhouse_Gas_Emissions_Reduction,Priority_Organic_Production,Priority_Other,Satisfaction_Irrigation_Management,Satisfaction_Water_Conservation_and_Storage,Satisfaction_Nutrient_Management,Satisfaction_Salinity_Management,Satisfaction_Soil_Health_Management,Satisfaction_Cover_Crops,Satisfaction_Weed_Control,Satisfaction_Insect_Pest_Control,Satisfaction_Disease_Control,Satisfaction_Manure_Management,Satisfaction_Compost_Management,Satisfaction_Crop_Establishment,Satisfaction_Variety_Testing,Satisfaction_Harvest_and_Postharvest,Satisfaction_Emerging_Crops,Satisfaction_Testing_New_Products,Satisfaction_Niche_Marketing_Field_Crops,Satisfaction_Greenhouse_Gas_Emissions_Reduction,Satisfaction_Organic_Production,Satisfaction_Other,UCCE_Information_Types_Requested,UCCE_Information_Preferred_Contact,Internet_Information_Sources,Total_Years_in_Crop_Production,Years_On_Current_Farm,Percentage_Income_Agriculture,Percentage_of_Total_Irrigated_Acres,Percentage_of_Acres_Leased,Percentage_of_Acres_Owned,Proposed_Ideas,Age_Range,Gender,Race_Ethnicity,Gift_Card,Crops
197,Grower,500,0,0,100,0,Tulare,,,,,,,,,,,,,,,,,,,,,,,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Not  concerned,Not  concerned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat Valuable,Not Valuable,Not Valuable,Not Valuable,High Priority,Low Priority,Medium Priority,Medium Priority,Medium Priority,Low Priority,High Priority,High Priority,High Priority,Low Priority,Low Priority,Medium Priority,Low Priority,Low Priority,Low Priority,Medium Priority,Low Priority,Low Priority,Low Priority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Grower,1500,0,0,80,20,San Joaquin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Always,Often,Often,Often,Always,Always,Always,Often,Always,Always,Always,Sometimes,Always,,"Industry,Other Growers,Certified Crop Advisor,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)",,,,,,,,,,High Priority,Medium Priority,High Priority,Medium Priority,Medium Priority,Medium Priority,Medium Priority,High Priority,High Priority,Low Priority,Low Priority,Low Priority,Low Priority,Low Priority,Medium Priority,High Priority,Low Priority,Medium Priority,Medium Priority,,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,No Opinion,No Opinion,No Opinion,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,No Opinion,"Decision Support Tools,Cost of Production Information,Field Trial Results","Internet (websites),Newsletters","University of California Cooperative Extension websites,YouTube (who/what channel?)",30+ years,20-29 years,100,100,60,40,,55 - 64 years,Male,Hispanic or Latino,No,
199,Grower,,51,0,49,0,"Butte,Colusa,Glenn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Grower,175,100,0,0,0,Lassen,1,,,,,,,,,,2,,,,,,,,,,,,Very concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Not  concerned,Very concerned,Somewhat concerned,Not  concerned,Very concerned,Somewhat concerned,Somewhat concerned,Not  concerned,,"Irrigation/Water Management,Disease Control,Insect Pest Control,Harvest Operations",,,,,,,,,,,,,,,,,,,,,,,"Profitability,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Supports wildlife habitat,Crop is traditionally grown on my farm",,,,,,,,,,,,,,,,,,,,,,,Always,Often,Always,Often,Rarely,Always,Always,Always,Rarely,Sometimes,Often,Often,Always,,"Other Growers,Pesticide Control Advisor,Resource Conservation Districts,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)",1-2 times/year,3-6 times per year,Never,1-2 times/year,Never,,Somewhat Valuable,Very Valuable,,High Priority,High Priority,Medium Priority,Low Priority,High Priority,Low Priority,Medium Priority,High Priority,High Priority,No Opinion,Medium Priority,High Priority,Low Priority,No Opinion,No Opinion,Low Priority,Low Priority,No Opinion,No Opinion,,Medium Satisfaction,Low Satisfaction,Low Satisfaction,No Opinion,Medium Satisfaction,No Opinion,Medium Satisfaction,Low Satisfaction,No Opinion,No Opinion,Medium Satisfaction,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,,"Recommendations on how to manage,Cost of Production Information,Field Trial Results,Regulatory updates","Internet (websites),Newsletters,In-person meetings (Field Days, Grower Meetings)",I don't look for field crop production information on the internet,10-19 years,10-19 years,31,100,,100,,65 - 74 years,Male,White or Caucasian,No,"Alfalfa, Small Grain Hay"
201,Grower,1500,20,0,75,5,"Merced,Stanislaus",,,,,,,,,1,2,,,,3,,,,,,,,,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,,,,,,,,,,,"Nutrient Management,Soil Management",,,,,,,"Irrigation/Water Management,Disease Control,Weed Control,Insect Pest Control,Harvest Operations,Labor",,,,,,,,,,,,,,,,"Profitability,Stable Markets,Crop Rotation Benefits",Stable Markets,,,,,,"Profitability,Crop Rotation Benefits",,,,,,Always,Always,Always,Always,Always,Always,Often,Always,Always,Often,Always,Sometimes,Always,,"Industry,Other Growers,Pesticide Control Advisor,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)",1-2 times/year,1-2 times/month,1-2 times/month,1-3 times/week,Never,Very Valuable,Very Valuable,Very Valuable,Very Valuable,High Priority,High Priority,High Priority,High Priority,Medium Priority,Medium Priority,High Priority,High Priority,High Priority,Low Priority,Low Priority,High Priority,High Priority,Medium Priority,Medium Priority,High Priority,High Priority,Low Priority,Low Priority,,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Low Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Low Satisfaction,Low Satisfaction,Low Satisfaction,,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Webinars,Virtual Meetings,In-person meetings (Field Days, Grower Meetings),Fact Sheets,Demonstration Videos,""California Agriculture"" Journal","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):",30+ years,30+ years,100,100,40,60,"Help in management practices. more technical in cost accounting, software to reduce time in office but have access to data in the field. What different options due I have to stay connected from office to field.",65 - 74 years,Male,White or Caucasian,Yes,"Corn Silage, Small Grain Silage, Dry Beans"
202,Grower,5500,87,0,13,0,"San Joaquin,Stanislaus",1,,,,,,,,3,,2,,,,,,,,,,,,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,,"Irrigation/Water Management,Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",,,,,,,,,,"Irrigation/Water Management,Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",,"Irrigation/Water Management,Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",,,,,,,,,,,"Profitability,Stable Markets,Crop Rotation Benefits,Supports wildlife habitat,Crop is traditionally grown on my farm",,,,,,,,,,"Profitability,Crop Rotation Benefits,Crop is traditionally grown on my farm",,"Profitability,Stable Markets,Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,Crop is traditionally grown on my farm",,,,,,,,,,,Often,Often,Always,Sometimes,Often,Always,Always,Often,Often,Often,Often,Sometimes,Always,,"Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),Field crew",1-2 times/year,1-2 times/month,Never,1-2 times/month,1-2 times/year,Very Valuable,Very Valuable,Very Valuable,Very Valuable,High Priority,High Priority,High Priority,High Priority,High Priority,Medium Priority,High Priority,High Priority,High Priority,Medium Priority,Medium Priority,High Priority,High Priority,High Priority,Low Priority,High Priority,High Priority,Medium Priority,,,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Webinars,Newsletters,UC Cooperative Extension Magazine Articles,In-person meetings (Field Days, Grower Meetings),Books/manuals,Social Media,Fact Sheets,Interactive Web Tools,Demonstration Videos,Two or three day destination meetings,""California Agriculture"" Journal","University of California Cooperative Extension websites,YouTube (who/what channel?),Instagram,Vendor Websites",30+ years,30+ years,100,100,71,29,Alfalfa seed that can grow through the auto toxicity,55 - 64 years,Male,White or Caucasian,Yes,"Alfalfa, Corn Silage, Small Grain Hay"
203,Grower,,40,0,44,16,"Madera,Merced",1,,,,,,,,,2,,,,,,,,,,,,,Somewhat concerned,Not  concerned,Somewhat concerned,Not  concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Not  concerned,Not  concerned,,Irrigation/Water Management,,,,,,,,,,,Irrigation/Water Management,,,,,,,,,,,,"Profitability,Stable Markets,Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Suitability for saline/alkaline soils,Supports wildlife habitat,Crop is traditionally grown on my farm",,,,,,,,,,,"Stable Markets,Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Suitability for saline/alkaline soils,Supports wildlife habitat,Crop is traditionally grown on my farm",,,,,,,,,,,,Always,Often,Always,Always,Always,Always,Always,Always,Always,Always,Often,Rarely,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alfalfa, Small Grain Silage"
204,Grower,700,100,0,0,0,"Kern,Kings",,,,,,,,,,,,,,,,,,,,,,,Very concerned,Very concerned,Very concerned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Grower,2600,95,5,0,0,"Riverside,San Bernardino",3,,,,,,,,1,2,,,,,,,,,,,,,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Not  concerned,Not  concerned,,"Irrigation/Water Management,Weed Control",,,,,,,,,,"Nutrient Management,Weed Control","Nutrient Management,Weed Control",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alfalfa, Corn Silage, Small Grain Silage"
206,Grower,125,0,0,100,0,Sutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Decision Support Tools,Cost of Production Information,Farm Economics,Regulatory updates","Internet (websites),Webinars,Newsletters",University of California Cooperative Extension websites,,,,,,,,,,,,
207,Grower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Grower,,0,0,100,0,"Butte,Sutter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Grower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Grower,,30,70,0,0,"Modoc,Siskiyou",3,,1,,2,,,,,,,,,,,,,,,,,,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Not  concerned,Somewhat concerned,,"Irrigation/Water Management,Weed Control,Insect Pest Control,Harvest Operations,Labor",,,,"Irrigation/Water Management,Nutrient Management,Disease Control,Weed Control,Soil Management",,"Weed Control,Soil Management",,,,,,,,,,,,,,,,,"Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,Soil is not suitable for other crops,Supports wildlife habitat",,,,Crop Rotation Benefits,,"Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,Suitability for saline/alkaline soils",,,,,,,,,,,,,,,,,Always,Often,Often,Always,Always,Always,Often,Rarely,Always,Often,Often,Sometimes,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alfalfa, Wheat, Barley"
211,Grower,,15,30,55,0,Kern,,,,,,,,,,,,,,,,,,,,,,,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Not  concerned,Not  concerned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Grower,850,5,0,95,0,"Glenn,Tehama",,,,,,,,,,,,,,,,,,,,,,,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Not  concerned,Somewhat concerned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Always,Always,Often,Always,Often,Often,Often,Often,Often,Often,Often,Often,Often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Grower,32,0,0,100,0,Sutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Grower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Grower,100,61,39,0,0,Colusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Grower,150,100,0,0,0,Yolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Grower,9000,20,35,45,0,Fresno,1,,,,,,,,2,3,,,,,,,,,,,,,Very concerned,Not  concerned,Not  concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Not  concerned,Very concerned,"Irrigation/Water Management,Insect Pest Control",,,,,,,,,,Irrigation/Water Management,"Disease Control,Weed Control",,,,,,,,,,,,"Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,Suitability for saline/alkaline soils,Other",,,,,,,,,,"Crop Rotation Benefits,Other",Other,,,,,,,,,,,,Often,Always,Always,Sometimes,Always,Always,Often,Always,Often,Rarely,Often,Rarely,Always,Often,"Industry,Other Growers,Pesticide Control Advisor,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)",Never,1-2 times/year,Never,Never,Never,Somewhat Valuable,Very Valuable,Very Valuable,Somewhat Valuable,Medium Priority,,High Priority,High Priority,Low Priority,Low Priority,High Priority,High Priority,High Priority,Medium Priority,Medium Priority,Low Priority,High Priority,Medium Priority,Low Priority,High Priority,Low Priority,Low Priority,Low Priority,,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Low Satisfaction,Low Satisfaction,Medium Satisfaction,No Opinion,No Opinion,Low Satisfaction,Low Satisfaction,Medium Satisfaction,Low Satisfaction,No Opinion,No Opinion,No Opinion,,"Decision Support Tools,Recommendations on how to manage,Field Trial Results,Regulatory updates","Internet (websites),Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation)","UC Blogs,Commodity Board websites,Vendor Websites",30+ years,30+ years,100,100,25,75,,65 - 74 years,Male,White or Caucasian,No,"Alfalfa, Corn Silage, Small Grain Silage"
218,Grower,40,0,20,80,0,San Joaquin,,,,,,3,,2,1,,,,,,,,,,,,,,Somewhat concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,,,Very concerned,Very concerned,,,,,,,,,"Irrigation/Water Management,Disease Control,Weed Control","Nutrient Management,Insect Pest Control,Soil Management",,"Harvest Operations,Labor,Other:",,,,,,,,,,,,,,,,,,,,"Profitability,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Supports wildlife habitat","Stable Markets,Capacity for deficit irrigation or fallowing,Soil is not suitable for other crops,Crop is traditionally grown on my farm",,"Crop Rotation Benefits,Suitability for saline/alkaline soils",,,,,,,,,,,,,Often,Always,Often,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,,"Pesticide Control Advisor,UC Cooperative Extension,County Agricultural Commissioner",1-2 times/year,1-2 times/month,1-2 times/year,Never,1-2 times/year,Very Valuable,Very Valuable,Very Valuable,Very Valuable,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information",Internet (websites),University of California Cooperative Extension websites,2 years or less,2 years or less,48,45,49,99,,45 - 54 years,Gender Identity not listed,White or Caucasian,,"Oats, Corn, Corn Silage"
219,Grower,2000,100,0,0,0,Sutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Grower,400,60,0,40,0,"Placer,Sutter",,1,,,,,,,,,,,,,,,,,,,,,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,,,,"Irrigation/Water Management,Weed Control",,,,,,,,,,,,,,,,,,,,,,,"I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Crop is traditionally grown on my farm",,,,,,,,,,,,,,,,,,,,,Often,Always,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Often,Often,Always,,"Other Growers,Pesticide Control Advisor,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)",1-2 times/year,3-6 times per year,1-2 times/year,3-6 times per year,1-2 times/year,Very Valuable,Very Valuable,Very Valuable,Very Valuable,High Priority,Low Priority,High Priority,Medium Priority,High Priority,Low Priority,High Priority,High Priority,High Priority,Low Priority,Low Priority,High Priority,High Priority,Medium Priority,Low Priority,High Priority,Low Priority,Low Priority,Low Priority,,Medium Satisfaction,No Opinion,Medium Satisfaction,No Opinion,Medium Satisfaction,No Opinion,Medium Satisfaction,Medium Satisfaction,No Opinion,No Opinion,No Opinion,Medium Satisfaction,Medium Satisfaction,No Opinion,No Opinion,Medium Satisfaction,No Opinion,No Opinion,No Opinion,,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Fact Sheets,Demonstration Videos",University of California Cooperative Extension websites,10-19 years,10-19 years,100,100,0,100,,45 - 54 years,Female,White or Caucasian,No,Rice
