"","Primary_Vocation","Acres","Percentage_Field_Crops","Percentage_Vegetable_Crops","Percentage_Tree_and_Vine_Crops","Percentage_Other","County","Alfalfa_Rank","Rice_Rank","Wheat_Rank","Triticale_Rank","Barley_Rank","Oats_Rank","Cotton_Rank","Corn_Rank","Corn_Silage_Rank","Small_Grain_Silage_Rank","Small_Grain_Hay_Rank","Grass_and_Grass_Mixtures_Hay_Rank","Sorghum_Rank","Sorghum_Sudangrass_Sudan_Rank","Dry_Beans_Rank","Mixed_Hay_Rank","Sunflower_Rank","Oilseeds_Rank","Sugar_Beets_Rank","Hemp_Rank","Other_Rank","Grass_and_Grass_Mixtures_Rank","Wild_Rice_Rank","Concern_Commodity_Price_of_Crops","Concern_Market_Access","Concern_Consumer_Demand","Concern_Input_Costs","Concern_Water_Costs","Concern_Land_Tenure","Concern_Water_Quality_and_Availability","Concern_Labor_Quality_and_Availability","Concern_Water_Regulations_Quantity","Concern_Water_Regulations_Quality","Concern_Labor_Regulations","Concern_Chemical_Regulations","Concern_Air_Quality","Concern_Changing_Weather_and_Climate","Concern_Soil_Degradation","Concern_Other","Alfalfa_Concerns","Cotton_Concerns","Rice_Concerns","Wild_Rice_Concerns","Wheat_Concerns","Triticale_Concerns","Barley_Concerns","Oats_Concerns","Corn_Concerns","Sorghum_Concerns","Corn_Silage_Concerns","Small_Grain_Silage_Concerns","Small_Grain_Hay_Concerns","Grass_and_Grass_Mixtures_Hay_Concerns","Grass_and_Grass_Mixtures_Pasture_Concerns","Sorghum_Sudangrass_Sudan_Concerns","Mixed_Hay_Concerns","Dry_Beans_Concerns","Sunflower_Concerns","Oilseeds_Concerns","Sugar_Beets_Concerns","Hemp_Concerns","Other_Concerns","Affected_Crop_Production_Profitability","Affected_Crop_Production_Crop_Yield","Affected_Crop_Production_Crop_Quality","Affected_Crop_Production_Input_Costs","Affected_Crop_Production_Soil_Fertility","Affected_Crop_Production_Land_Stewardship","Affected_Crop_Production_Natural_Resource_Conservation","Affected_Crop_Production_Meeting_Government_Regulations","Affected_Crop_Production_Labor_Required","Affected_Crop_Production_Ease_of_Implementation","Affected_Crop_Production_Certainty_in_Management_Practice","Affected_Crop_Production_Availability_of_Outreach_Information","Affected_Crop_Production_Water_Availability","Affected_Crop_Production_Other","Information_Sources","UCCE_Engagement_Attend_Field_Day","UCCE_Engagement_Read_Blog","UCCE_Engagement_Call_Advisor","UCCE_Engagement_Read_Newsletter","UCCE_Engagement_Interact_with_Social_Media","Amount_Valued_Continuing_Education_Credits","Amount_Valued_On_Farm_Consultations","Amount_Valued_Crop_Injury_Diagnosis","Amount_Valued_On_Farm_Trials","Priority_Irrigation_Management","Priority_Water_Conservation_and_Storage","Priority_Nutrient_Management","Priority_Salinity_Management","Priority_Soil_Health_Management","Priority_Cover_Crops","Priority_Weed_Control","Priority_Insect_Pest_Control","Priority_Disease_Control","Priority_Manure_Management","Priority_Compost_Management","Priority_Crop_Establishment","Priority_Variety_Testing","Priority_Harvest_and_Postharvest","Priority_Emerging_Crops","Priority_Testing_New_Products","Priority_Niche_Marketing_Field_Crops","Priority_Greenhouse_Gas_Emissions_Reduction","Priority_Organic_Production","Priority_Other","Satisfaction_Irrigation_Management","Satisfaction_Water_Conservation_and_Storage","Satisfaction_Nutrient_Management","Satisfaction_Salinity_Management","Satisfaction_Soil_Health_Management","Satisfaction_Cover_Crops","Satisfaction_Weed_Control","Satisfaction_Insect_Pest_Control","Satisfaction_Disease_Control","Satisfaction_Manure_Management","Satisfaction_Compost_Management","Satisfaction_Crop_Establishment","Satisfaction_Variety_Testing","Satisfaction_Harvest_and_Postharvest","Satisfaction_Emerging_Crops","Satisfaction_Testing_New_Products","Satisfaction_Niche_Marketing_Field_Crops","Satisfaction_Greenhouse_Gas_Emissions_Reduction","Satisfaction_Organic_Production","Satisfaction_Other","UCCE_Information_Types_Requested","UCCE_Information_Preferred_Contact","Internet_Information_Sources","Total_Years_in_Crop_Production","Total_Years_in_Consulting_Field_Crops","Percentage_Income_Agriculture","Percentage_of_Total_Irrigated_Acres","Percentage_of_Acres_Leased","Percentage_of_Acres_Owned","Proposed_Ideas","Age_Range","Gender","Race_Ethnicity","Gift_Card","Crops","Region"
"90","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","7000","40","0","60","0","Fresno,Kings,Tulare",NA,NA,NA,NA,NA,NA,NA,NA,"1","2",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrient Management,Weed Control,Insect Pest Control,Soil Management","Irrigation/Water Management,Nutrient Management,Weed Control,Insect Pest Control,Soil Management",NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Weed Control,Insect Pest Control,Soil Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corn Silage, Small Grain Silage, Sorghum Sudangrass Sudan","SSJV, SSJV"
"91","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","1500","5","0","95","0","Butte,Sutter,Yuba","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Not  concerned","Very concerned","Very concerned","Not  concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Not  concerned","Not  concerned",NA,"Disease Control,Weed Control,Insect Pest Control,Soil Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Soil Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Often","Always","Sometimes","Sometimes","Often","Sometimes","Always","Rarely","Often","Always","Often","Sometimes",NA,"Industry,Other Growers,Pesticide Control Advisor,UC Cooperative Extension,County Agricultural Commissioner","3-6 times per year","3-6 times per year","1-2 times/year","1-2 times/month","Never","Very Valuable","Very Valuable","Very Valuable","Very Valuable","Medium Priority","High Priority","High Priority","Low Priority","Low Priority","Low Priority","Low Priority","High Priority","High Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","High Priority","Low Priority","Medium Priority","Medium Priority","Low Priority","High Priority",NA,"High Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","No Opinion","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","No Opinion","Low Satisfaction","No Opinion","No Opinion","Medium Satisfaction",NA,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Field Trial Results,Regulatory updates","Internet (websites),Blogs,Webinars,Virtual Meetings,Newsletters,In-person meetings (Field Days, Grower Meetings),Books/manuals,Radio/Podcast,Fact Sheets,""California Agriculture"" Journal","University of California Cooperative Extension websites,UC Blogs,Other state's Cooperative Extension websites (specify which universities):",NA,"2 years or less","100","100","15","85",NA,"Under 25 years","Male","White or Caucasian","Yes","Alfalfa, Small Grain Hay","Sac_Valley, Sac_Valley"
"92","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"93","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","100","100","0","0","0","Butte,Calaveras,Colusa,Fresno,Glenn,Humboldt,Imperial,Kern,Lake,Los Angeles,Marin,Mendocino,Merced,Modoc,Monterey,Napa,Nevada,Orange,Placer,Riverside,Sacramento,San Benito,San Joaquin,San Luis Obispo,San Mateo ,Santa Barbara,Santa Clara,Santa Cruz,Siskiyou,Sonoma,Tulare,Yolo",NA,NA,"1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned",NA,NA,NA,NA,"Soil Management,Other:","Soil Management,Other:","Soil Management,Other:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Always",NA,NA,NA,"Always","Always","Always",NA,NA,NA,NA,NA,NA,NA,"Commodity Boards,Other Growers,UC Cooperative Extension,Non-Profit Organization (please specify)","1-2 times/year","3-6 times per year",NA,"1-2 times/year","Never",NA,NA,NA,"Very Valuable",NA,NA,NA,NA,"High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority",NA,"High Priority","High Priority","Medium Priority","Low Priority","High Priority","Medium Priority","High Priority","High Priority","No Opinion","No Opinion","No Opinion","No Opinion","Low Satisfaction","Low Satisfaction","Low Satisfaction","No Opinion","No Opinion","No Opinion","Low Satisfaction",NA,"Medium Satisfaction","Low Satisfaction","No Opinion","No Opinion","Low Satisfaction","Low Satisfaction","Low Satisfaction",NA,"Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Webinars,Newsletters,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Books/manuals,Demonstration Videos","Other (specify)",NA,"30+ years","0","0","90","10","Selected varieties of small grains and legumes as cash cover crops in an organic soil building rotation system","75 years and over","Female","White or Caucasian","No","Wheat, Triticale, Barley","Coastal, Sac_Valley, NSJV, SSJV, Desert, Coastal, Sierra_Nevada"
"94","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"95","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"96","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","7000","35","5","60","0","Butte,Colusa,Glenn,Tehama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Not  concerned","Somewhat concerned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Always","Always","Always","Often","Always","Often","Sometimes","Always","Often","Often","Always","Sometimes","Often",NA,"Industry,Commodity Boards,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-2 times/year","1-2 times/month","3-6 times per year","1-2 times/month","Never","Somewhat Valuable","Very Valuable","Very Valuable","Somewhat Valuable","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","High Priority","High Priority","Medium Priority","High Priority","High Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","Low Priority","Low Priority",NA,"High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction",NA,"Cost of Production Information,Field Trial Results","Internet (websites),Blogs,Personal contact (phone, email, on-farm consultation),Books/manuals","University of California Cooperative Extension websites",NA,"20-29 years","100","91","50","50",NA,"45 - 54 years","Male","Other (please specify)","No","","Sac_Valley, Sac_Valley"
"97","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","5000","78","22","0","0","Lassen,Modoc,Shasta","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Very concerned",NA,"Irrigation/Water Management,Nutrient Management,Weed Control,Insect Pest Control,Soil Management",NA,NA,"Disease Control,Soil Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Irrigation/Water Management,Disease Control,Weed Control,Soil Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Always","Always","Sometimes","Often","Always","Always","Often","Always","Often","Often","Always","Always","Always",NA,"Industry,Other Growers,UC Cooperative Extension,Resource Conservation Districts,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner","1-2 times/year","1-2 times/year","1-2 times/year","3-6 times per year","Never","Somewhat Valuable","Very Valuable","Very Valuable","Very Valuable","Medium Priority","High Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","High Priority","High Priority","High Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","High Priority","High Priority","Low Priority","Medium Priority",NA,"No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","High Satisfaction","High Satisfaction","High Satisfaction","No Opinion","No Opinion","No Opinion","Medium Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion",NA,"Decision Support Tools,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Newsletters,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Radio/Podcast,Fact Sheets","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):",NA,"10-19 years","82","100","19","87",NA,"45 - 54 years","Male","Prefer not to say","No","Alfalfa, Grass and Grass Mixtures Hay, Wild Rice","Intermountain"
"98","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"99","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"100","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","40000","90","5","5","0","Lassen,Modoc,Siskiyou","1",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"Very concerned","Somewhat concerned","Not  concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned",NA,"Irrigation/Water Management,Nutrient Management,Weed Control,Insect Pest Control",NA,NA,NA,"Irrigation/Water Management,Weed Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Harvest Operations,Labor","Often","Always","Always","Often","Always","Always","Often","Always","Sometimes","Often","Often","Often","Always",NA,"Industry,Other Growers,Pesticide Control Advisor,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-2 times/year","1-2 times/month","1-2 times/month","3-6 times per year","1-2 times/month","Very Valuable","Somewhat Valuable","Very Valuable","Very Valuable","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","High Priority","High Priority","High Priority","High Priority","Low Priority","Low Priority",NA,"High Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Low Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction",NA,"Recommendations on how to manage,Field Trial Results","Blogs,Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Social Media,Fact Sheets","University of California Cooperative Extension websites,UC Blogs",NA,"10-19 years","100","95","40","60","Continued testing of new pesticides, specifically herbicides and fungicides (biologicals as well)","26- 34 years","Male","White or Caucasian","Yes","Alfalfa, Wheat, Other","Intermountain"
"101","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","1500050","20","30","50","0","Amador,Colusa,El Dorado,Napa,Nevada,Placer,Sacramento,Solano,Sonoma,Yolo","2",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Very concerned","Irrigation/Water Management,Nutrient Management,Weed Control,Insect Pest Control,Soil Management,Labor",NA,NA,NA,NA,"Nutrient Management,Disease Control,Weed Control,Soil Management,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Weed Control,Insect Pest Control,Soil Management,Labor",NA,NA,NA,NA,"Always","Always","Always","Often","Always","Often","Often","Always","Always","Often","Always","Always","Always",NA,"Industry,Commodity Boards,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,Water Quality Coalition,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner,Non-Profit Organization (please specify),Other (please specify):","3-6 times per year","Never","1-2 times/month","1-2 times/month","Never","Very Valuable","Very Valuable","Very Valuable","Very Valuable","Medium Priority","Low Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","Low Priority","High Priority","Low Priority","Medium Priority","High Priority","Low Priority","Low Priority","High Priority","High Priority","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","No Opinion","Medium Satisfaction","No Opinion","Medium Satisfaction","No Opinion","No Opinion","Low Satisfaction","No Opinion","No Opinion","Medium Satisfaction","Medium Satisfaction","Decision Support Tools,Field Trial Results,Regulatory updates","Internet (websites),Webinars,Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Books/manuals,Fact Sheets","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):",NA,"30+ years","100","95","30","70","More field trials with older products vs new products to see to what extent resistance is building. This may be very helpful in keeping older chemistry like Chlorpyrifos being banned without available alternatives. A lot of this may be political, but true science should prevail.","55 - 64 years","Male","White or Caucasian","Yes","Alfalfa, Triticale, Sunflower","Sac_Valley, Sac_Valley, Coastal, Sierra_Nevada"
"102","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","10000","60","0","10","30","Siskiyou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"1","2",NA,"Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Irrigation/Water Management,Weed Control,Insect Pest Control",NA,"Irrigation/Water Management,Weed Control,Insect Pest Control",NA,NA,NA,NA,NA,"Irrigation/Water Management,Weed Control,Insect Pest Control","Always","Often","Sometimes","Always","Often","Often","Often","Always","Always","Always","Often","Often","Always","Always","Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner","3-6 times per year","3-6 times per year","1-3 times/week","3-6 times per year","Never","Very Valuable","Very Valuable","Very Valuable","Very Valuable","High Priority","High Priority","Medium Priority","Low Priority","Medium Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","Low Priority","Low Priority","High Priority","High Satisfaction","Medium Satisfaction","High Satisfaction","No Opinion","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","No Opinion","No Opinion","Medium Satisfaction","No Opinion","No Opinion","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","No Opinion",NA,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results","Internet (websites),Personal contact (phone, email, on-farm consultation),Books/manuals,Fact Sheets","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):",NA,"20-29 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mixed Hay, Other, Grass and Grass Mixtures","Intermountain"
"103","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","20000","60","20","0","20","Imperial","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned",NA,"Irrigation/Water Management,Disease Control,Weed Control,Insect Pest Control,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrient Management,Soil Management,Harvest Operations",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Always","Always","Always","Always","Always","Often","Often","Often","Often","Often","Often","Often","Often",NA,"Industry,Pesticide Control Advisor,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner","1-2 times/year","Never","3-6 times per year","1-2 times/month","Never","Very Valuable","Somewhat Valuable","Somewhat Valuable","Very Valuable","High Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","Low Priority","High Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","Medium Priority","High Priority","Low Priority","Medium Priority","High Priority","Medium Priority","Low Priority","Low Priority",NA,"Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction",NA,"Recommendations on how to manage,Cost of Production Information,Field Trial Results,Regulatory updates","Internet (websites),Webinars,Virtual Meetings,Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Books/manuals,Fact Sheets,Demonstration Videos,""California Agriculture"" Journal","University of California Cooperative Extension websites,Vendor Websites",NA,"30+ years","30","100","50","50",NA,"65 - 74 years","Male","Hispanic or Latino","No","Alfalfa, Grass and Grass Mixtures Hay, Sugar Beets","Desert, Desert"
