"","Primary_Vocation","County","Concern_Commodity_Price_of_Crops","Concern_Market_Access","Concern_Consumer_Demand","Concern_Input_Costs","Concern_Water_Costs","Concern_Land_Tenure","Concern_Water_Quality_and_Availability","Concern_Labor_Quality_and_Availability","Concern_Water_Regulations_Quantity","Concern_Water_Regulations_Quality","Concern_Labor_Regulations","Concern_Chemical_Regulations","Concern_Air_Quality","Concern_Changing_Weather_and_Climate","Concern_Soil_Degradation","Information_Sources","UCCE_Engagement_Attend_Field_Day","UCCE_Engagement_Read_Blog","UCCE_Engagement_Call_Advisor","UCCE_Engagement_Read_Newsletter","UCCE_Engagement_Interact_with_Social_Media","Priority_Irrigation_Management","Priority_Water_Conservation_and_Storage","Priority_Nutrient_Management","Priority_Salinity_Management","Priority_Soil_Health_Management","Priority_Cover_Crops","Priority_Weed_Control","Priority_Insect_Pest_Control","Priority_Disease_Control","Priority_Manure_Management","Priority_Compost_Management","Priority_Crop_Establishment","Priority_Variety_Testing","Priority_Harvest_and_Postharvest","Priority_Emerging_Crops","Priority_Testing_New_Products","Priority_Niche_Marketing_Field_Crops","Priority_Greenhouse_Gas_Emissions_Reduction","Priority_Organic_Production","Satisfaction_Irrigation_Management","Satisfaction_Water_Conservation_and_Storage","Satisfaction_Nutrient_Management","Satisfaction_Salinity_Management","Satisfaction_Soil_Health_Management","Satisfaction_Cover_Crops","Satisfaction_Weed_Control","Satisfaction_Insect_Pest_Control","Satisfaction_Disease_Control","Satisfaction_Manure_Management","Satisfaction_Compost_Management","Satisfaction_Crop_Establishment","Satisfaction_Variety_Testing","Satisfaction_Harvest_and_Postharvest","Satisfaction_Emerging_Crops","Satisfaction_Testing_New_Products","Satisfaction_Niche_Marketing_Field_Crops","Satisfaction_Greenhouse_Gas_Emissions_Reduction","Satisfaction_Organic_Production","UCCE_Information_Types_Requested","UCCE_Information_Preferred_Contact","Internet_Information_Sources","Age_Range","Gender","Race_Ethnicity","Gift_Card","Region"
"50","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Yolo","Not  concerned","Not  concerned","Not  concerned","Very concerned","Not  concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Very concerned","Somewhat concerned","Not  concerned","Not  concerned","Industry,Other Growers,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner","Never","Never","1-2 times/year","3-6 times per year","Never","Low Priority","High Priority","High Priority","Low Priority","Low Priority","Low Priority","High Priority","High Priority","High Priority","Low Priority","Low Priority","Low Priority","High Priority","Low Priority","Medium Priority","High Priority","High Priority","Low Priority","High Priority","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Decision Support Tools,Field Trial Results","Internet (websites),Fact Sheets","University of California Cooperative Extension websites","Prefer not to say","Prefer not to say","Prefer not to say","No","Sac_Valley, Sac_Valley"
"51","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Butte,Calaveras,Colusa,Fresno,Imperial,Inyo,Kern,Kings,Mariposa,Merced,Monterey,Napa,Sacramento,San Joaquin,San Luis Obispo,Santa Barbara,Stanislaus,Tulare,Ventura","Somewhat concerned","Not  concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Not  concerned","Not  concerned","Industry,Other Growers,Certified Crop Advisor,UC Cooperative Extension","1-2 times/year","Never","Never","Never","Never","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Low Priority","Low Priority","Low Priority","Low Priority","Medium Priority","No Opinion","No Opinion","Medium Priority","Low Priority","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","Regulatory updates","Internet (websites),In-person meetings (Field Days, Grower Meetings)","I don't look for field crop production information on the internet","55 - 64 years","Male","Prefer not to say","Yes","Coastal, Sac_Valley, NSJV, SSJV, Desert, Coastal, Sierra_Nevada"
"52","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Fresno,Imperial,Inyo,Kern,Merced,Riverside,Sacramento,San Joaquin,Stanislaus,Tulare","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Not  concerned","Not  concerned","Somewhat concerned","Industry,NRCS,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),Family members","1-2 times/year","1-2 times/year","Never","3-6 times per year","Never","Medium Priority","High Priority","High Priority","Medium Priority","Low Priority","Low Priority","Low Priority","High Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","Low Priority","High Priority","No Opinion","High Priority","Medium Priority","Low Priority","Low Priority","No Opinion","Medium Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","High Satisfaction","High Satisfaction","No Opinion","No Opinion","No Opinion","Medium Satisfaction","No Opinion","Low Satisfaction","No Opinion","No Opinion","No Opinion","Medium Satisfaction","No Opinion","Cost of Production Information,Farm Economics,Field Trial Results","In-person meetings (Field Days, Grower Meetings),Fact Sheets,Demonstration Videos","Farmer network or forum (please specify),Vendor Websites","35 - 44 years","Male","White or Caucasian","Yes","NSJV, Sac_Valley, NSJV, SSJV, Desert, Sierra_Nevada"
"53","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Fresno,Imperial,Kern,Kings,Lassen,Madera,Monterey,Riverside,Siskiyou","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Commodity Boards,Other Growers,Pesticide Control Advisor,UC Cooperative Extension","1-2 times/year","1-2 times/month","3-6 times per year","1-2 times/month","3-6 times per year","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Low Priority","High Priority","Medium Priority","High Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","High Priority","Medium Priority","Low Priority","Medium Priority","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","High Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","High Satisfaction","Low Satisfaction","High Satisfaction","No Opinion","Medium Satisfaction","Low Satisfaction","Cost of Production Information,Field Trial Results,Regulatory updates","Internet (websites),Webinars,Newsletters,Personal contact (phone, email, on-farm consultation),Books/manuals,Fact Sheets","University of California Cooperative Extension websites,Commodity Board websites","65 - 74 years","Male","Prefer not to say","No","SSJV, NSJV, SSJV, Desert, Coastal"
"54","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Butte,Colusa,Glenn,Yuba","Not  concerned","Very concerned","Very concerned","Very concerned","Very concerned","Not  concerned","Very concerned","Very concerned",NA,"Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),Field crew,County Agricultural Commissioner","1-2 times/year","3-6 times per year","1-2 times/year","1-2 times/month","1-2 times/year","Medium Priority","Medium Priority","Medium Priority","High Priority","High Priority","Low Priority","Medium Priority","Medium Priority","Medium Priority","No Opinion","No Opinion","Medium Priority","High Priority","Medium Priority","High Priority","High Priority","Medium Priority","Low Priority","Medium Priority","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","Low Satisfaction","Low Satisfaction","No Opinion","No Opinion","Decision Support Tools,Field Trial Results,Regulatory updates","Internet (websites),Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Books/manuals,Fact Sheets,Interactive Web Tools,Demonstration Videos","University of California Cooperative Extension websites,Commodity Board websites,Vendor Websites","55 - 64 years","Male","White or Caucasian","Yes","Sac_Valley, Sac_Valley"
"55","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Placer","Somewhat concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Not  concerned","Somewhat concerned","Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-2 times/year","1-3 times/week","1-2 times/year","1-2 times/month","Never","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","Low Priority","High Priority","High Priority","High Priority","Low Priority","Low Priority","Low Priority","Medium Priority","Low Priority","Medium Priority","High Priority","Low Priority","Low Priority","Medium Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","High Satisfaction","High Satisfaction","High Satisfaction","No Opinion","No Opinion","Low Satisfaction","Medium Satisfaction","No Opinion","Low Satisfaction","High Satisfaction","No Opinion","No Opinion","Medium Satisfaction","Recommendations on how to manage,Field Trial Results,Regulatory updates,Other (please specify):","Internet (websites),Blogs,Webinars,Newsletters,UC Cooperative Extension Magazine Articles,In-person meetings (Field Days, Grower Meetings),Books/manuals,Fact Sheets,""California Agriculture"" Journal","University of California Cooperative Extension websites","55 - 64 years","Male","White or Caucasian","Yes","Sierra_Nevada, Sierra_Nevada"
"56","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Imperial,Kern,Merced,Riverside,Sacramento,San Joaquin,San Luis Obispo,Stanislaus,Tulare,Yolo ,Yuba","Somewhat concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Not  concerned","Industry,Other Growers,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-2 times/year","1-2 times/month","1-2 times/year","1-2 times/month","Never","High Priority","High Priority","Medium Priority","High Priority","Medium Priority","No Opinion","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","Low Priority","Low Priority","Low Priority","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","No Opinion","No Opinion","Medium Satisfaction","No Opinion","No Opinion","High Satisfaction","Medium Satisfaction","No Opinion","No Opinion","Medium Satisfaction","Medium Satisfaction","No Opinion","Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Blogs,Newsletters,UC Cooperative Extension Magazine Articles,Fact Sheets,""California Agriculture"" Journal","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):,Farmer network or forum (please specify)","75 years and over","Male","White or Caucasian","No","NSJV, Sac_Valley, NSJV, SSJV, Desert, Coastal"
"57","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Mendocino","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Industry,Other Growers,Pesticide Control Advisor,UC Cooperative Extension,NRCS,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner","1-2 times/year","1-2 times/year","1-2 times/year","1-2 times/year","Never","High Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction",NA,"Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Cost of Production Information,Field Trial Results","Internet (websites),In-person meetings (Field Days, Grower Meetings),Books/manuals","University of California Cooperative Extension websites,Vendor Websites","45 - 54 years","Male","White or Caucasian","Yes","Coastal, Coastal"
"58","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Amador","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","Never","Never","Never","Never","Never","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","High Satisfaction","High Satisfaction",NA,"Low Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Blogs,Webinars,Virtual Meetings,Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Books/manuals,Radio/Podcast,Social Media,Fact Sheets,Interactive Web Tools,Demonstration Videos,Two or three day destination meetings,""California Agriculture"" Journal","University of California Cooperative Extension websites,UC Blogs,Commodity Board websites,Instagram,Facebook,Twitter,Vendor Websites,I don't look for field crop production information on the internet","55 - 64 years","Female","White or Caucasian,Black or African American,Hispanic or Latino,Asian or Asian American,American Indian or Alaska Native,Native Hawaiian or other Pacific Islander","No","Sierra_Nevada, Sierra_Nevada"
"59","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Butte,Fresno,Imperial,Kern,Kings,Madera,Merced,Sacramento,Shasta,Siskiyou,Solano,Stanislaus,Tulare,Yolo ,Yuba","Somewhat concerned","Not  concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Industry,NRCS,State or County Farm Bureau","1-2 times/year","3-6 times per year","Never","1-2 times/year","Never","High Priority","Medium Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Low Priority","High Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion",NA,"No Opinion","No Opinion","No Opinion","No Opinion","Medium Satisfaction","No Opinion","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","No Opinion","Cost of Production Information,Field Trial Results","Internet (websites),In-person meetings (Field Days, Grower Meetings),Social Media","University of California Cooperative Extension websites","55 - 64 years","Male","White or Caucasian","Yes","Sac_Valley, Sac_Valley, NSJV, SSJV, Desert"
"60","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Calaveras,Contra Costa,Merced,Placer,Sacramento,San Francisco,San Joaquin,Stanislaus,Tuolumne","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Industry,Commodity Boards,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,Water Quality Coalition,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),Family members,Field crew,County Agricultural Commissioner","Never","1-2 times/year","Never","1-2 times/year","1-2 times/year","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","Medium Priority","High Priority","High Priority","Medium Priority","High Priority","High Priority","Medium Priority","High Priority","High Priority","High Priority","Medium Priority","High Priority","High Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction",NA,"Medium Satisfaction","Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Webinars,Virtual Meetings,Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Books/manuals,Social Media,Fact Sheets,""California Agriculture"" Journal","University of California Cooperative Extension websites,Commodity Board websites,Other state's Cooperative Extension websites (specify which universities):,Farmer network or forum (please specify),Facebook,Vendor Websites","45 - 54 years","Male","White or Caucasian,Hispanic or Latino,Other (please specify)","Yes","NSJV, Sac_Valley, NSJV, Coastal, Sierra_Nevada"
"61","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Kern,Tulare","Very concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,NRCS,Field crew","3-6 times per year","Never","1-2 times/year","1-2 times/month","1-3 times/week","Medium Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","Medium Priority","High Priority","High Priority","Medium Priority","Medium Priority","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Decision Support Tools,Cost of Production Information,Farm Economics,Field Trial Results,Other (please specify):","Internet (websites),Blogs,Webinars,Virtual Meetings,Newsletters,UC Cooperative Extension Magazine Articles,In-person meetings (Field Days, Grower Meetings),Books/manuals,Social Media,Fact Sheets,Interactive Web Tools,Two or three day destination meetings,""California Agriculture"" Journal","Other (specify)","35 - 44 years","Male","Hispanic or Latino","Yes","SSJV, SSJV"
"62","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Alameda","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Industry,Other Growers,Certified Crop Advisor,Environmental Groups","1-2 times/year","3-6 times per year","Never","1-2 times/year","Never","Medium Priority","High Priority","High Priority","Medium Priority","High Priority","High Priority","Medium Priority","Medium Priority","High Priority","Low Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","High Priority","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","Decision Support Tools,Field Trial Results","Internet (websites),In-person meetings (Field Days, Grower Meetings),Books/manuals","University of California Cooperative Extension websites,UC Blogs","26- 34 years","Male","White or Caucasian","No","Coastal, Coastal"
"63","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Riverside","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Industry,UC Cooperative Extension,Resource Conservation Districts,NRCS,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-2 times/year","1-2 times/year","Never","1-2 times/year","Never","High Priority","High Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","Low Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","No Opinion","Decision Support Tools,Cost of Production Information,Field Trial Results","Internet (websites),Newsletters,UC Cooperative Extension Magazine Articles","University of California Cooperative Extension websites","55 - 64 years","Male","White or Caucasian","No","Desert, Desert"
"64","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Imperial,Kern,Riverside,San Diego,Tulare","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Industry,Commodity Boards,Pesticide Control Advisor,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-2 times/month","Never","3-6 times per year","Never","Never","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","Low Priority","High Priority","Medium Priority","Low Priority","Medium Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Low Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Field Trial Results,Regulatory updates","Internet (websites),Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Demonstration Videos","University of California Cooperative Extension websites","35 - 44 years","Male","White or Caucasian","No","SSJV, SSJV, Desert, Coastal"
"65","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Shasta,Sierra,Siskiyou","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),Family members","1-2 times/year","3-6 times per year","1-2 times/year","3-6 times per year","Never","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Satisfaction","No Opinion","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","Medium Satisfaction","High Satisfaction","Medium Satisfaction","No Opinion","Low Satisfaction","Low Satisfaction","No Opinion","Medium Satisfaction","Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates,Other (please specify):","Internet (websites),Blogs,Webinars,Personal contact (phone, email, on-farm consultation),Books/manuals,Interactive Web Tools,Demonstration Videos","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):","35 - 44 years","Male","White or Caucasian","No","Intermountain, Sierra_Nevada"
"66","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Colusa,Contra Costa,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Madera,Mendocino,Merced,Monterey,Napa,Placer,Sacramento,San Benito,San Joaquin,San Luis Obispo,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Yolo ,Yuba","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,NRCS,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner","Never","3-6 times per year","Never","3-6 times per year","1-2 times/month","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates,Other (please specify):","Internet (websites),Webinars,Newsletters,UC Cooperative Extension Magazine Articles,Social Media,Fact Sheets,Interactive Web Tools,Two or three day destination meetings,""California Agriculture"" Journal","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):,Instagram,Facebook","45 - 54 years","Female","Other (please specify)","Yes","Coastal, Sac_Valley, NSJV, SSJV, Coastal, Sierra_Nevada"
"67","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Fresno,Imperial,Kern,Kings,Madera,Mariposa,Merced,Sacramento,San Joaquin,Sierra,Siskiyou,Solano,Stanislaus,Sutter,Tulare,Yolo ,Yuba","Somewhat concerned",NA,"Somewhat concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Not  concerned","Industry","1-2 times/year","1-2 times/year","Never","1-2 times/year","Never","Low Priority","Low Priority","Medium Priority","Low Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","No Opinion","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","No Opinion","No Opinion","No Opinion","Low Satisfaction","Low Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","Decision Support Tools,Recommendations on how to manage,Field Trial Results","Internet (websites),Books/manuals,Fact Sheets,Interactive Web Tools","University of California Cooperative Extension websites,Vendor Websites","35 - 44 years","Male","Hispanic or Latino","Yes","Sac_Valley, Sac_Valley, NSJV, SSJV, Desert, Sierra_Nevada"
