"","Question"
"UCCE_Engagement_Read_Blog","How often do you engage with UC Cooperative Extension (UCCE) in the following ways? - Read a UCCE Blog"
"UCCE_Engagement_Call_Advisor","How often do you engage with UC Cooperative Extension (UCCE) in the following ways? - Call a UCCE advisor for a farm call"
"UCCE_Engagement_Read_Newsletter","How often do you engage with UC Cooperative Extension (UCCE) in the following ways? - Read a UCCE newsletter"
"UCCE_Engagement_Interact_with_Social_Media","How often do you engage with UC Cooperative Extension (UCCE) in the following ways? - Interact with UCCE social media (Facebook, Instagram, etc.)"
"Amount_Valued_Continuing_Education_Credits","How much do you value the following: - Continuing Education Credits offered at UC Cooperative Extension meetings"
"Amount_Valued_On_Farm_Consultations","How much do you value the following: - On-farm consultations"
"Amount_Valued_Crop_Injury_Diagnosis","How much do you value the following: - Diagnosing crop injuries from insects, pathogens, or nutrients"
"Amount_Valued_On_Farm_Trials","How much do you value the following: - On-Farm Trials"
"Priority_Irrigation_Management","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Irrigation Management/Crop water requirements"
"Priority_Water_Conservation_and_Storage","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Water Conservation and Storage"
"Priority_Nutrient_Management","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Nutrient Management (fertilizer application rates, timing, methods, etc.)"
"Priority_Salinity_Management","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Salinity Management"
"Priority_Soil_Health_Management","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Soil Health Management (ex. conservation tillage, crop rotation)"
"Priority_Cover_Crops","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Cover Crops"
"Priority_Weed_Control","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Weed Control"
"Priority_Insect_Pest_Control","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Insect Pest Control"
"Priority_Disease_Control","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Disease Control"
"Priority_Manure_Management","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Manure Management"
"Priority_Compost_Management","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Compost Management"
"Priority_Crop_Establishment","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Crop Establishment"
"Priority_Variety_Testing","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Variety Testing"
"Priority_Harvest_and_Postharvest","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Harvest/Postharvest"
"Priority_Emerging_Crops","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Emerging Crops (e.g. hemp)"
"Priority_Testing_New_Products","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Testing new products (pesticides, herbicides, biostimulants etc.)"
"Priority_Niche_Marketing_Field_Crops","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Niche marketing of field crops"
"Priority_Greenhouse_Gas_Emissions_Reduction","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Greenhouse Gas Emissions Reduction"
"Priority_Organic_Production","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Organic Production"
"Priority_Other","Rate what you believe should be the University of California's Research and Extension priorities for field crop production - Other (please specify)"
"Satisfaction_Irrigation_Management","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Irrigation Management/Crop water requirements"
"Satisfaction_Water_Conservation_and_Storage","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Water Conservation and Storage"
"Satisfaction_Nutrient_Management","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Nutrient Management (fertilizer application rates, timing, methods, etc.)"
"Satisfaction_Salinity_Management","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Salinity Management"
"Satisfaction_Soil_Health_Management","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Soil Health Management (ex. conservation tillage, crop rotation)"
"Satisfaction_Cover_Crops","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Cover Crops"
"Satisfaction_Weed_Control","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Weed Control"
"Satisfaction_Insect_Pest_Control","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Insect Pest Control"
"Satisfaction_Disease_Control","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Disease Control"
"Satisfaction_Manure_Management","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Manure Management"
"Satisfaction_Compost_Management","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Compost Management"
"Satisfaction_Crop_Establishment","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Crop Establishment"
"Satisfaction_Variety_Testing","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Variety Testing"
"Satisfaction_Harvest_and_Postharvest","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Harvest/Postharvest"
"Satisfaction_Emerging_Crops","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Emerging Crops (e.g. hemp)"
"Satisfaction_Testing_New_Products","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Testing new products (pesticides, herbicides, biostimulants etc.)"
"Satisfaction_Niche_Marketing_Field_Crops","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Niche marketing of field crops"
"Satisfaction_Greenhouse_Gas_Emissions_Reduction","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Greenhouse Gas Emissions Reduction"
"Satisfaction_Organic_Production","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Organic Production"
"Satisfaction_Other","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Other (please specify)"
"UCCE_Information_Types_Requested","What type of information would you like to receive from UC Cooperative Extension? - Selected Choice"
"UCCE_Information_Preferred_Contact","How would you prefer to receive information from UC Cooperative Extension (check all that apply) - Selected Choice"
"Internet_Information_Sources","Where do you most often look for field crop production information on the internet? - Selected Choice"
"Total_Years_in_Crop_Production","How long have you been involved in field crop production? - Years involved in agronomic crop production on any farm"
"Years_On_Current_Farm","How long have you been involved in field crop production? - Years on present farm"
"Total_Years_in_Consulting_Field_Crops","How long have you been consulting on field crops?"
"Percentage_Income_Farming","Approximately what percentage of your total income comes from farming? - % income from farming"
"Percentage_Income_Consulting","Approximately what percentage of your total income comes from consulting? - % income from consulting"
"Percentage_of_Total_Irrigated_Acres","Of the total acres you manage or consult on annually, what % are irrigated? - % total irrigated acres"
"Percentage_of_Acres_Leased","Of the total acres you manage or consult on annually, what % are leased or owned? - % Leased"
"Percentage_of_Acres_Owned","Of the total acres you manage or consult on annually, what % are leased or owned? - % Owned"
"Proposed_Ideas","Do you have ideas for applied research or Extension that you would like to see tested?"
"Age_Range","Optional Demographic Questions:
Age"
"Gender","How do you describe yourself?"
"Race_Ethnicity","Race/Ethnicity (check one or more) - Selected Choice"
"Gift_Card","Thank you so much for completing this questionnaire! Would you like to enter your email address to receive a $10 gift card?"
